id,description,category,cloud_provider,vulnerable_code,poc,source,timestamp
VUL001,Publicly accessible S3 bucket exposing sensitive data.,Misconfiguration,AWS,"{ ""Version"": ""2012-10-17"", ""Statement"": [{ ""Effect"": ""Allow"", ""Principal"": ""*"", ""Action"": ""s3:GetObject"", ""Resource"": ""arn:aws:s3:::public-bucket/*"" } ] }",aws s3 ls s3://public-bucket --no-sign-request,"{'cve': 'N/A', 'link': 'https://aws.amazon.com/security'}",2025-06-19T10:47:00Z
VUL002,Azure Blob Storage with anonymous read access.,Access Control,Azure,"{ ""properties"": { ""publicAccess"": ""Blob"" } }",curl https://example.blob.core.windows.net/container/file.txt,"{'cve': 'CVE-2021-12345', 'link': 'https://cve.mitre.org'}",2025-06-19T10:47:00Z
VUL003,GCP Cloud Function with unauthenticated HTTP trigger.,IAM Misconfiguration,GCP,gcloud functions deploy example-fn --runtime nodejs16 --trigger-http --allow-unauthenticated,curl https://us-central1-project.cloudfunctions.net/example-fn,"{'cve': 'N/A', 'link': 'https://cloud.google.com/security'}",2025-06-19T10:47:00Z
VUL004,Unencrypted AWS Lambda environment variables leaking API keys.,Data Exposure,AWS,"{ ""Variables"": { ""API_KEY"": ""sk_live_123456789"" } }",aws lambda get-function-configuration --function-name example-fn,"{'cve': 'CVE-2020-98765', 'link': 'https://cve.mitre.org'}",2025-06-19T10:47:00Z
VUL005,Azure Kubernetes Service (AKS) with default admin credentials.,Authentication,Azure,az aks create --resource-group rg --name cluster --enable-admin,kubectl get pods --server=https://cluster:443 --username=admin,"{'cve': 'CVE-2022-54321', 'link': 'https://cve.mitre.org'}",2025-06-19T10:47:00Z
VUL006,GCP Compute Engine instance with overly permissive firewall rules.,Network Security,GCP,gcloud compute firewall-rules create allow-all --allow tcp:0-65535,nmap -p- instance-ip,"{'cve': 'N/A', 'link': 'https://cloud.google.com/vpc/docs/firewalls'}",2025-06-19T10:47:00Z
VUL007,AWS EC2 instance with exposed SSH port and weak key.,Access Control,AWS,"{ ""SecurityGroupRules"": [{ ""IpProtocol"": ""tcp"", ""FromPort"": 22, ""ToPort"": 22, ""CidrIpv4"": ""0.0.0.0/0"" }] }",ssh -i weak-key.pem ec2-user@instance-ip,"{'cve': 'N/A', 'link': 'https://aws.amazon.com/ec2'}",2025-06-19T10:47:00Z
VUL008,Oracle Cloud Object Storage bucket with public write access.,Misconfiguration,Oracle Cloud,"{ ""accessType"": ""ObjectWrite"", ""principal"": ""AnyUser"" }",curl -X PUT -d 'test' https://objectstorage.bucket/file.txt,"{'cve': 'N/A', 'link': 'https://docs.oracle.com/en-us/iaas/Content/Object/Tasks/managingbuckets.htm'}",2025-06-19T10:47:00Z
VUL009,IBM Cloud Kubernetes Service with insecure API server access.,API Security,IBM Cloud,"{ ""apiServer"": { ""publicAccess"": true } }",curl https://cluster-api:6443/api/v1/pods,"{'cve': 'CVE-2023-11122', 'link': 'https://cve.mitre.org'}",2025-06-19T10:47:00Z
VUL010,Alibaba OSS bucket with misconfigured CORS allowing unauthorized access.,Access Control,Alibaba Cloud,"{ ""CORSRule"": [{ ""AllowedOrigin"": ""*"", ""AllowedMethod"": [""GET"", ""PUT""] }] }",curl -H 'Origin: http://malicious.com' https://oss.bucket/file.txt,"{'cve': 'N/A', 'link': 'https://www.alibabacloud.com/help/doc-detail/31837.htm'}",2025-06-19T10:47:00Z
VUL011,AWS RDS instance with public access enabled.,Network Security,AWS,"{ ""PubliclyAccessible"": true }",mysql -h rds-endpoint -u admin -p,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/rds'}",2025-06-19T10:47:00Z
VUL012,Azure Cosmos DB with weak firewall rules.,Network Security,Azure,"{ ""ipRules"": [{ ""allowedIPAddressRange"": ""0.0.0.0/0"" }] }",curl https://cosmosdb-account.documents.azure.com/dbs,"{'cve': 'N/A', 'link': 'https://docs.microsoft.com/azure/cosmos-db'}",2025-06-19T10:47:00Z
VUL013,GCP Pub/Sub with overly permissive IAM bindings.,IAM Misconfiguration,GCP,gcloud pubsub topics add-iam-policy-binding topic --member='allUsers' --role='roles/pubsub.publisher',gcloud pubsub topics publish topic --message='test',"{'cve': 'N/A', 'link': 'https://cloud.google.com/pubsub/docs'}",2025-06-19T10:47:00Z
VUL014,AWS IAM user with full administrative privileges.,IAM Misconfiguration,AWS,"{ ""Policy"": { ""Statement"": [{ ""Effect"": ""Allow"", ""Action"": ""*"", ""Resource"": ""*"" }] } }",aws sts get-caller-identity,"{'cve': 'N/A', 'link': 'https://docs.aws.amazon.com/iam'}",2025-06-19T10:47:00Z
